iter	Passed	Remaining
0	137	137278
1	138	69275
2	140	46705
3	141	35325
4	143	28499
5	144	23948
6	146	20714
7	147	18294
8	148	16398
9	150	14883
10	151	13634
11	153	12599
12	154	11720
13	155	10962
14	157	10314
15	158	9745
16	159	9242
17	161	8805
18	162	8414
19	178	8762
20	182	8529
21	186	8280
22	189	8034
23	191	7804
24	194	7575
25	196	7345
26	198	7137
27	199	6939
28	201	6759
29	203	6588
30	217	6792
31	218	6616
32	220	6452
33	221	6302
34	223	6156
35	224	6017
36	226	5887
37	227	5766
38	229	5652
39	231	5548
40	232	5448
41	245	5598
42	246	5492
43	248	5397
44	249	5302
45	251	5216
46	253	5131
47	254	5047
48	255	4967
49	257	4890
50	259	4820
51	260	4749
52	262	4682
53	263	4615
54	265	4555
55	266	4495
56	268	4437
57	269	4383
58	271	4326
59	272	4274
60	274	4223
61	275	4171
62	277	4124
63	279	4083
64	280	4036
65	282	3991
66	283	3946
67	285	3906
68	286	3863
69	287	3825
70	289	3787
71	290	3749
72	292	3711
73	293	3678
74	295	3643
75	297	3613
76	298	3579
77	299	3545
78	300	3505
79	302	3473
80	303	3442
81	304	3413
82	306	3384
83	306	3347
84	308	3319
85	309	3292
86	311	3267
87	312	3240
88	313	3213
89	315	3187
90	316	3163
91	317	3137
92	319	3113
93	320	3089
94	322	3069
95	323	3046
96	324	3025
97	326	3002
98	327	2980
99	328	2958
100	330	2937
101	331	2916
102	332	2895
103	333	2875
104	335	2856
105	336	2837
106	337	2819
107	339	2801
108	340	2783
109	341	2765
110	343	2747
111	343	2724
112	345	2708
113	346	2691
114	348	2678
115	349	2664
116	351	2650
117	352	2635
118	353	2620
119	355	2605
120	356	2592
121	358	2577
122	359	2561
123	360	2546
124	361	2530
125	362	2515
126	364	2502
127	365	2491
128	366	2477
129	368	2463
130	369	2449
131	370	2435
132	371	2422
133	372	2408
134	374	2396
135	375	2383
136	376	2370
137	377	2359
138	378	2347
139	380	2334
140	381	2322
141	382	2309
142	383	2297
143	384	2285
144	385	2273
145	386	2261
146	387	2249
147	388	2239
148	389	2227
149	391	2217
150	392	2207
151	393	2196
152	394	2185
153	395	2174
154	397	2164
155	398	2153
156	399	2143
157	400	2133
158	401	2123
159	402	2114
160	403	2105
161	405	2096
162	406	2087
163	407	2078
164	408	2068
165	409	2059
166	411	2050
167	412	2040
168	413	2031
169	414	2022
170	415	2014
171	416	2005
172	417	1996
173	418	1987
174	420	1980
175	421	1972
176	422	1964
177	423	1956
